config,instance,seed,score,segments,time_s,GA+LS,improvement
Balancuar,toy,1,510,5,0.73,510,0
Balancuar,toy,2,510,5,0.67,510,0
Balancuar,toy,3,510,5,0.73,510,0
Balancuar,toy,4,510,5,0.74,510,0
Balancuar,toy,5,510,5,0.68,510,0
Balancuar,toy,6,510,5,0.71,510,0
Balancuar,toy,7,510,5,0.71,510,0
Balancuar,toy,8,510,5,0.76,510,0
Balancuar,toy,9,510,5,0.67,510,0
Balancuar,toy,10,510,5,0.74,510,0
Balancuar,croatia_tv,1,2208,25,25.17,2220,12
Balancuar,croatia_tv,2,2208,25,22.59,2220,12
Balancuar,croatia_tv,3,2208,25,23.15,2220,12
Balancuar,croatia_tv,4,2208,25,23.01,2220,12
Balancuar,croatia_tv,5,2208,25,23.81,2220,12
Balancuar,croatia_tv,6,2208,25,24.13,2220,12
Balancuar,croatia_tv,7,2208,25,21.21,2220,12
Balancuar,croatia_tv,8,2208,25,20.61,2220,12
Balancuar,croatia_tv,9,2208,25,22.47,2220,12
Balancuar,croatia_tv,10,2208,25,21.82,2220,12
Balancuar,germany_tv,1,1608,28,8.09,1641,33
Balancuar,germany_tv,2,1608,28,6.67,1641,33
Balancuar,germany_tv,3,1613,28,7.47,1641,28
Balancuar,germany_tv,4,1608,28,7.16,1641,33
Balancuar,germany_tv,5,1608,28,7.25,1641,33
Balancuar,germany_tv,6,1620,27,8.3,1641,21
Balancuar,germany_tv,7,1608,28,7.34,1641,33
Balancuar,germany_tv,8,1608,28,7.62,1641,33
Balancuar,germany_tv,9,1608,28,8.11,1641,33
Balancuar,germany_tv,10,1618,28,7.56,1641,23
Balancuar,kosovo_tv,1,2591,32,17.5,2591,0
Balancuar,kosovo_tv,2,2587,32,17.57,2591,4
Balancuar,kosovo_tv,3,2591,32,23.22,2591,0
Balancuar,kosovo_tv,4,2591,32,19.11,2591,0
Balancuar,kosovo_tv,5,2587,32,18.31,2591,4
Balancuar,kosovo_tv,6,2591,32,23.46,2591,0
Balancuar,kosovo_tv,7,2587,32,17.07,2591,4
Balancuar,kosovo_tv,8,2591,32,18.49,2591,0
Balancuar,kosovo_tv,9,2591,32,24.93,2591,0
Balancuar,kosovo_tv,10,2587,32,17.47,2591,4
Balancuar,netherlands_tv,1,2636,35,,2636,0
Balancuar,netherlands_tv,2,2636,35,,2636,0
Balancuar,netherlands_tv,3,2636,35,,2636,0
Balancuar,netherlands_tv,4,2636,35,,2636,0
Balancuar,netherlands_tv,5,2636,35,,2636,0
Balancuar,netherlands_tv,6,2636,35,,2636,0
Balancuar,netherlands_tv,7,2636,35,,2636,0
Balancuar,netherlands_tv,8,2636,35,,2636,0
Balancuar,netherlands_tv,9,2636,35,,2636,0
Balancuar,netherlands_tv,10,2636,35,,2636,0
Balancuar,uk_tv,1,2257,26,44.72,2266,9
Balancuar,uk_tv,2,2266,26,80.89,2266,0
Balancuar,uk_tv,3,2260,26,58.61,2266,6
Balancuar,uk_tv,4,2261,26,55.24,2266,5
Balancuar,uk_tv,5,2257,26,73.76,2266,9
Balancuar,uk_tv,6,2252,26,53.59,2266,14
Balancuar,uk_tv,7,2253,26,47.64,2266,13
Balancuar,uk_tv,8,2264,26,47.75,2266,2
Balancuar,uk_tv,9,2256,26,55.33,2266,10
Balancuar,uk_tv,10,2266,26,55.66,2266,0
Balancuar,usa_tv,1,3574,35,299.78,3574,0
Balancuar,usa_tv,2,3572,35,299.51,3574,2
Balancuar,usa_tv,3,3572,35,280.92,3575,3
Balancuar,usa_tv,4,3572,35,291.64,3574,2
Balancuar,usa_tv,5,3572,35,293.53,3574,2
Balancuar,usa_tv,6,3572,35,290.47,3574,2
Balancuar,usa_tv,7,3575,35,299.44,3577,2
Balancuar,usa_tv,8,3575,35,298.92,3577,2
Balancuar,usa_tv,9,3576,35,291.4,3578,2
Balancuar,usa_tv,10,3576,35,296.7,3578,2
Balancuar,australia_iptv,1,4442,41,299.57,4446,4
Balancuar,australia_iptv,2,4352,41,299.45,4379,27
Balancuar,australia_iptv,3,4420,41,299.59,4425,5
Balancuar,australia_iptv,4,4444,41,299.47,4446,2
Balancuar,australia_iptv,5,4460,41,299.54,4460,0
Balancuar,australia_iptv,6,4457,41,299.57,4463,6
Balancuar,australia_iptv,7,4421,41,299.52,4421,0
Balancuar,australia_iptv,8,4379,41,299.57,4395,16
Balancuar,australia_iptv,9,4450,41,299.45,4455,5
Balancuar,australia_iptv,10,4363,40,299.44,4371,8
Balancuar,france_iptv,1,4340,46,299.54,4345,5
Balancuar,france_iptv,2,4333,46,299.47,4344,11
Balancuar,france_iptv,3,4288,46,299.46,4338,50
Balancuar,france_iptv,4,4319,46,299.49,4349,30
Balancuar,france_iptv,5,4310,46,299.56,4345,35
Balancuar,france_iptv,6,4315,46,299.51,4344,29
Balancuar,france_iptv,7,4332,46,299.52,4338,6
Balancuar,france_iptv,8,4308,46,299.49,4339,31
Balancuar,france_iptv,9,4340,46,299.51,4345,5
Balancuar,france_iptv,10,4334,46,299.46,4348,14
Balancuar,spain_iptv,1,4550,47,299.56,4570,20
Balancuar,spain_iptv,2,4556,47,299.45,4573,17
Balancuar,spain_iptv,3,4533,47,299.49,4573,40
Balancuar,spain_iptv,4,4553,47,299.51,4573,20
Balancuar,spain_iptv,5,4537,47,299.44,4570,33
Balancuar,spain_iptv,6,4534,47,299.15,4573,39
Balancuar,spain_iptv,7,4548,47,299.5,4573,25
Balancuar,spain_iptv,8,4541,47,299.43,4571,30
Balancuar,spain_iptv,9,4534,47,299.45,4573,39
Balancuar,spain_iptv,10,4527,47,299.46,4572,45
Balancuar,uk_iptv,1,5174,46,299.46,5216,42
Balancuar,uk_iptv,2,5183,46,299.48,5218,35
Balancuar,uk_iptv,3,5232,46,299.57,5255,23
Balancuar,uk_iptv,4,5188,46,299.47,5192,4
Balancuar,uk_iptv,5,5176,46,299.51,5218,42
Balancuar,uk_iptv,6,5191,46,299.58,5194,3
Balancuar,uk_iptv,7,5174,46,299.49,5216,42
Balancuar,uk_iptv,8,5151,46,299.49,5208,57
Balancuar,uk_iptv,9,5217,46,299.44,5218,1
Balancuar,uk_iptv,10,5184,46,299.53,5187,3
Balancuar,us_iptv,1,4558,46,300.34,4558,0
Balancuar,us_iptv,2,4558,46,299.86,4558,0
Balancuar,us_iptv,3,4558,46,300.19,4558,0
Balancuar,us_iptv,4,4558,46,300.52,4558,0
Balancuar,us_iptv,5,4567,46,299.95,4568,1
Balancuar,us_iptv,6,4573,46,300.14,4573,0
Balancuar,us_iptv,7,4588,46,300.18,4588,0
Balancuar,us_iptv,8,4558,46,300.35,4558,0
Balancuar,us_iptv,9,4558,46,299.96,4558,0
Balancuar,us_iptv,10,4574,46,300.63,4575,1
Balancuar,singapore_pw,1,4347,45,215.75,4347,0
Balancuar,singapore_pw,2,4332,45,128.17,4338,6
Balancuar,singapore_pw,3,4341,45,163.31,4347,6
Balancuar,singapore_pw,4,4346,45,123.17,4348,2
Balancuar,singapore_pw,5,4332,45,166.51,4338,6
Balancuar,singapore_pw,6,4341,45,153.1,4347,6
Balancuar,singapore_pw,7,4333,45,130.98,4339,6
Balancuar,singapore_pw,8,4342,45,157.05,4348,6
Balancuar,singapore_pw,9,4341,45,123.08,4348,7
Balancuar,singapore_pw,10,4342,45,116.14,4342,0
Balancuar,china_pw,1,3015,42,299.45,3019,4
Balancuar,china_pw,2,3101,42,299.47,3107,6
Balancuar,china_pw,3,3100,42,296.63,3107,7
Balancuar,china_pw,4,3010,41,299.52,3012,2
Balancuar,china_pw,5,3104,42,282.01,3107,3
Balancuar,china_pw,6,3103,42,292.41,3108,5
Balancuar,china_pw,7,2987,41,299.59,3012,25
Balancuar,china_pw,8,3104,42,299.51,3107,3
Balancuar,china_pw,9,2989,40,299.5,2996,7
Balancuar,china_pw,10,3101,42,299.48,3108,7
Balancuar,youtube_gold,1,100367,3090,299.8,100439,72
Balancuar,youtube_gold,2,100446,3092,299.86,100518,72
Balancuar,youtube_gold,3,100301,3082,299.81,100365,64
Balancuar,youtube_gold,4,100321,3084,299.83,100399,78
Balancuar,youtube_gold,5,100292,3084,299.66,100370,78
Balancuar,youtube_gold,6,100502,3101,299.81,100553,51
Balancuar,youtube_gold,7,100359,3084,299.83,100406,47
Balancuar,youtube_gold,8,100298,3084,299.81,100383,85
Balancuar,youtube_gold,9,100342,3084,299.71,100389,47
Balancuar,youtube_gold,10,100454,3091,299.81,100522,68
Balancuar,youtube_premium,1,56985,684,299.52,57172,187
Balancuar,youtube_premium,2,56970,692,299.78,57209,239
Balancuar,youtube_premium,3,56065,675,299.44,56629,564
Balancuar,youtube_premium,4,57345,693,299.49,57712,367
Balancuar,youtube_premium,5,56900,685,299.78,57119,219
Balancuar,youtube_premium,6,57081,688,299.78,57365,284
Balancuar,youtube_premium,7,57453,699,299.72,57693,240
Balancuar,youtube_premium,8,56500,683,299.78,56856,356
Balancuar,youtube_premium,9,57101,691,299.47,57450,349
Balancuar,youtube_premium,10,56730,681,299.44,57101,371
