config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,toy,1,510,5,0.67,510,0
Default,toy,2,510,5,0.64,510,0
Default,toy,3,510,5,0.68,510,0
Default,toy,4,510,5,0.68,510,0
Default,toy,5,510,5,0.68,510,0
Default,toy,6,510,5,0.62,510,0
Default,toy,7,510,5,0.67,510,0
Default,toy,8,510,5,0.79,510,0
Default,toy,9,510,5,0.66,510,0
Default,toy,10,510,5,0.83,510,0
Default,croatia_tv,1,2208,25,19.84,2220,12
Default,croatia_tv,2,2208,25,21.29,2220,12
Default,croatia_tv,3,2208,25,21.15,2220,12
Default,croatia_tv,4,2208,25,21.2,2220,12
Default,croatia_tv,5,2208,25,21.78,2220,12
Default,croatia_tv,6,2208,25,26.93,2220,12
Default,croatia_tv,7,2208,25,26.33,2220,12
Default,croatia_tv,8,2208,25,26.79,2220,12
Default,croatia_tv,9,2208,25,25.08,2220,12
Default,croatia_tv,10,2208,25,26.45,2220,12
Default,germany_tv,1,1608,28,6.1,1641,33
Default,germany_tv,2,1608,28,7.48,1641,33
Default,germany_tv,3,1608,28,7.23,1641,33
Default,germany_tv,4,1620,27,7.21,1641,21
Default,germany_tv,5,1618,28,9.54,1641,23
Default,germany_tv,6,1608,28,6.47,1641,33
Default,germany_tv,7,1618,28,7.78,1641,23
Default,germany_tv,8,1613,28,7.16,1641,28
Default,germany_tv,9,1608,28,7.63,1641,33
Default,germany_tv,10,1608,28,8.44,1641,33
Default,kosovo_tv,1,2591,32,17.21,2591,0
Default,kosovo_tv,2,2591,32,16.88,2591,0
Default,kosovo_tv,3,2587,32,19.48,2591,4
Default,kosovo_tv,4,2591,32,17.29,2591,0
Default,kosovo_tv,5,2587,32,18.22,2591,4
Default,kosovo_tv,6,2591,32,25.23,2591,0
Default,kosovo_tv,7,2587,32,17.79,2591,4
Default,kosovo_tv,8,2591,32,18.0,2591,0
Default,kosovo_tv,9,2591,32,18.79,2591,0
Default,kosovo_tv,10,2587,32,17.45,2591,4
Default,netherlands_tv,1,2636,35,,2636,0
Default,netherlands_tv,2,2636,35,,2636,0
Default,netherlands_tv,3,2636,35,,2636,0
Default,netherlands_tv,4,2636,35,,2636,0
Default,netherlands_tv,5,2636,35,,2636,0
Default,netherlands_tv,6,2636,35,,2636,0
Default,netherlands_tv,7,2636,35,,2636,0
Default,netherlands_tv,8,2636,35,,2636,0
Default,netherlands_tv,9,2636,35,,2636,0
Default,netherlands_tv,10,2636,35,,2636,0
Default,uk_tv,1,2264,26,94.14,2266,2
Default,uk_tv,2,2259,26,53.05,2266,7
Default,uk_tv,3,2258,26,44.18,2266,8
Default,uk_tv,4,2264,26,73.67,2266,2
Default,uk_tv,5,2252,26,56.31,2266,14
Default,uk_tv,6,2254,26,57.39,2266,12
Default,uk_tv,7,2259,26,54.71,2266,7
Default,uk_tv,8,2255,26,77.52,2266,11
Default,uk_tv,9,2266,26,57.37,2266,0
Default,uk_tv,10,2263,26,47.58,2266,3
Default,usa_tv,1,3572,35,283.04,3574,2
Default,usa_tv,2,3572,35,213.98,3574,2
Default,usa_tv,3,3572,35,267.9,3574,2
Default,usa_tv,4,3572,35,260.92,3574,2
Default,usa_tv,5,3572,35,198.3,3574,2
Default,usa_tv,6,3572,35,245.71,3575,3
Default,usa_tv,7,3575,35,279.86,3577,2
Default,usa_tv,8,3572,35,180.58,3574,2
Default,usa_tv,9,3576,35,299.18,3578,2
Default,usa_tv,10,3576,35,201.64,3578,2
Default,australia_iptv,1,4444,41,299.47,4450,6
Default,australia_iptv,2,4414,41,299.57,4459,45
Default,australia_iptv,3,4330,41,299.43,4365,35
Default,australia_iptv,4,4259,39,299.54,4341,82
Default,australia_iptv,5,4359,40,299.44,4374,15
Default,australia_iptv,6,4395,40,299.59,4395,0
Default,australia_iptv,7,4404,41,299.45,4462,58
Default,australia_iptv,8,4439,41,299.58,4455,16
Default,australia_iptv,9,4444,41,299.55,4449,5
Default,australia_iptv,10,4375,40,299.53,4383,8
Default,france_iptv,1,4334,46,299.46,4345,11
Default,france_iptv,2,4331,46,299.43,4345,14
Default,france_iptv,3,4344,47,299.49,4380,36
Default,france_iptv,4,4307,46,299.46,4337,30
Default,france_iptv,5,4304,46,299.47,4337,33
Default,france_iptv,6,4296,46,299.45,4338,42
Default,france_iptv,7,4306,46,299.54,4338,32
Default,france_iptv,8,4310,46,299.5,4344,34
Default,france_iptv,9,4325,46,299.47,4338,13
Default,france_iptv,10,4313,46,299.51,4338,25
Default,spain_iptv,1,4534,47,299.58,4570,36
Default,spain_iptv,2,4564,47,299.43,4573,9
Default,spain_iptv,3,4548,47,299.48,4573,25
Default,spain_iptv,4,4531,47,299.47,4572,41
Default,spain_iptv,5,4537,47,299.45,4570,33
Default,spain_iptv,6,4548,47,299.44,4563,15
Default,spain_iptv,7,4550,47,277.7,4573,23
Default,spain_iptv,8,4544,47,299.46,4571,27
Default,spain_iptv,9,4567,47,299.45,4573,6
Default,spain_iptv,10,4532,47,299.44,4573,41
Default,uk_iptv,1,5188,46,299.53,5188,0
Default,uk_iptv,2,5164,46,299.78,5214,50
Default,uk_iptv,3,5176,46,299.46,5218,42
Default,uk_iptv,4,5174,46,299.78,5216,42
Default,uk_iptv,5,5176,46,299.57,5218,42
