config,instance,seed,score,segments,time_s,GA+LS,improvement
Explorues,toy,1,510,5,1.01,510,0
Explorues,toy,2,510,5,1.16,510,0
Explorues,toy,3,510,5,1.11,510,0
Explorues,toy,4,510,5,1.17,510,0
Explorues,toy,5,510,5,0.99,510,0
Explorues,toy,6,510,5,1.04,510,0
Explorues,toy,7,510,5,1.02,510,0
Explorues,toy,8,510,5,1.03,510,0
Explorues,toy,9,510,5,1.02,510,0
Explorues,toy,10,510,5,1.05,510,0
Explorues,croatia_tv,1,2208,25,50.62,2220,12
Explorues,croatia_tv,2,2208,25,42.07,2220,12
Explorues,croatia_tv,3,2208,25,36.2,2220,12
Explorues,croatia_tv,4,2208,25,41.21,2220,12
Explorues,croatia_tv,5,2208,25,59.55,2220,12
Explorues,croatia_tv,6,2208,25,91.79,2220,12
Explorues,croatia_tv,7,2208,25,109.06,2220,12
Explorues,croatia_tv,8,2208,25,121.21,2220,12
Explorues,croatia_tv,9,2208,25,55.35,2220,12
Explorues,croatia_tv,10,2208,25,52.27,2220,12
Explorues,germany_tv,1,1620,27,12.25,1641,21
Explorues,germany_tv,2,1618,28,12.8,1641,23
Explorues,germany_tv,3,1608,28,11.06,1641,33
Explorues,germany_tv,4,1608,28,11.01,1641,33
Explorues,germany_tv,5,1618,28,11.46,1641,23
Explorues,germany_tv,6,1608,28,10.89,1641,33
Explorues,germany_tv,7,1608,28,11.55,1641,33
Explorues,germany_tv,8,1608,28,10.73,1641,33
Explorues,germany_tv,9,1608,28,13.05,1641,33
Explorues,germany_tv,10,1638,28,14.53,1641,3
Explorues,kosovo_tv,1,2591,32,26.74,2591,0
Explorues,kosovo_tv,2,2591,32,27.23,2591,0
Explorues,kosovo_tv,3,2591,32,27.39,2591,0
Explorues,kosovo_tv,4,2591,32,26.91,2591,0
Explorues,kosovo_tv,5,2591,32,27.1,2591,0
Explorues,kosovo_tv,6,2591,32,29.16,2591,0
Explorues,kosovo_tv,7,2591,32,28.64,2591,0
Explorues,kosovo_tv,8,2591,32,30.25,2591,0
Explorues,kosovo_tv,9,2591,32,28.76,2591,0
Explorues,kosovo_tv,10,2591,32,29.76,2591,0
Explorues,netherlands_tv,1,2636,35,,2636,0
Explorues,netherlands_tv,2,2636,35,,2636,0
Explorues,netherlands_tv,3,2636,35,,2636,0
Explorues,netherlands_tv,4,2636,35,,2636,0
Explorues,netherlands_tv,5,2636,35,,2636,0
Explorues,netherlands_tv,6,2636,35,,2636,0
Explorues,netherlands_tv,7,2636,35,,2636,0
Explorues,netherlands_tv,8,2636,35,,2636,0
Explorues,netherlands_tv,9,2636,35,,2636,0
Explorues,netherlands_tv,10,2636,35,,2636,0
Explorues,uk_tv,1,2264,26,112.41,2266,2
Explorues,uk_tv,2,2264,26,93.64,2266,2
Explorues,uk_tv,3,2266,26,157.9,2266,0
Explorues,uk_tv,4,2266,26,140.56,2266,0
Explorues,uk_tv,5,2260,26,87.81,2266,6
Explorues,uk_tv,6,2264,26,99.0,2266,2
Explorues,uk_tv,7,2259,26,83.15,2266,7
Explorues,uk_tv,8,2260,26,85.01,2266,6
Explorues,uk_tv,9,2260,26,160.8,2266,6
Explorues,uk_tv,10,2252,26,84.56,2266,14
Explorues,usa_tv,1,3572,35,232.22,3574,2
Explorues,usa_tv,2,3573,35,236.92,3574,1
Explorues,usa_tv,3,3572,35,268.72,3575,3
Explorues,usa_tv,4,3572,35,277.36,3574,2
Explorues,usa_tv,5,3576,35,286.36,3576,0
Explorues,usa_tv,6,3576,35,263.12,3576,0
Explorues,usa_tv,7,3572,35,231.44,3577,5
Explorues,usa_tv,8,3572,35,229.88,3574,2
Explorues,usa_tv,9,3576,35,287.65,3578,2
Explorues,usa_tv,10,3578,34,271.26,3578,0
Explorues,australia_iptv,1,4459,41,299.53,4460,1
Explorues,australia_iptv,2,4326,41,299.45,4353,27
Explorues,australia_iptv,3,4379,41,299.49,4396,17
Explorues,australia_iptv,4,4357,41,299.47,4392,35
Explorues,australia_iptv,5,4359,40,299.52,4374,15
Explorues,australia_iptv,6,4372,41,299.44,4464,92
Explorues,australia_iptv,7,4406,41,299.58,4457,51
Explorues,australia_iptv,8,4341,40,299.47,4343,2
Explorues,australia_iptv,9,4371,40,299.5,4374,3
Explorues,australia_iptv,10,4411,41,299.52,4454,43
Explorues,france_iptv,1,4289,46,299.48,4337,48
Explorues,france_iptv,2,4303,46,299.49,4345,42
Explorues,france_iptv,3,4305,46,299.54,4344,39
Explorues,france_iptv,4,4291,46,299.47,4343,52
Explorues,france_iptv,5,4320,46,299.47,4336,16
Explorues,france_iptv,6,4290,46,299.44,4343,53
Explorues,france_iptv,7,4307,46,299.46,4339,32
Explorues,france_iptv,8,4290,46,299.49,4336,46
Explorues,france_iptv,9,4321,46,299.47,4335,14
Explorues,france_iptv,10,4314,46,299.51,4345,31
Explorues,spain_iptv,1,4554,47,299.48,4570,16
Explorues,spain_iptv,2,4564,47,299.5,4572,8
Explorues,spain_iptv,3,4542,47,299.49,4572,30
Explorues,spain_iptv,4,4550,47,299.46,4572,22
Explorues,spain_iptv,5,4545,47,299.52,4572,27
Explorues,spain_iptv,6,4534,47,299.42,4571,37
Explorues,spain_iptv,7,4533,47,299.48,4573,40
Explorues,spain_iptv,8,4560,47,299.48,4570,10
Explorues,spain_iptv,9,4543,47,299.48,4572,29
Explorues,spain_iptv,10,4525,47,299.44,4572,47
Explorues,uk_iptv,1,5161,46,299.44,5203,42
Explorues,uk_iptv,2,5313,47,299.78,5313,0
