config,instance,seed,score,segments,time_s,GA+LS,improvement
Intensiv,toy,1,510,5,0.5,510,0
Intensiv,toy,2,510,5,0.52,510,0
Intensiv,toy,3,510,5,0.42,510,0
Intensiv,toy,4,510,5,0.48,510,0
Intensiv,toy,5,510,5,0.4,510,0
Intensiv,toy,6,510,5,0.41,510,0
Intensiv,toy,7,510,5,0.53,510,0
Intensiv,toy,8,510,5,0.42,510,0
Intensiv,toy,9,510,5,0.43,510,0
Intensiv,toy,10,510,5,0.48,510,0
Intensiv,croatia_tv,1,2208,25,14.06,2220,12
Intensiv,croatia_tv,2,2208,25,13.0,2220,12
Intensiv,croatia_tv,3,2208,25,15.15,2220,12
Intensiv,croatia_tv,4,2208,25,13.89,2220,12
Intensiv,croatia_tv,5,2208,25,14.26,2220,12
Intensiv,croatia_tv,6,2208,25,14.56,2220,12
Intensiv,croatia_tv,7,2208,25,13.17,2220,12
Intensiv,croatia_tv,8,2208,25,13.38,2220,12
Intensiv,croatia_tv,9,2208,25,13.71,2220,12
Intensiv,croatia_tv,10,2208,25,15.09,2220,12
Intensiv,germany_tv,1,1608,28,4.53,1641,33
Intensiv,germany_tv,2,1608,28,4.36,1641,33
Intensiv,germany_tv,3,1608,28,3.75,1641,33
Intensiv,germany_tv,4,1608,28,4.32,1641,33
Intensiv,germany_tv,5,1620,27,4.42,1641,21
Intensiv,germany_tv,6,1608,28,4.17,1641,33
Intensiv,germany_tv,7,1608,28,4.32,1641,33
Intensiv,germany_tv,8,1608,28,3.95,1641,33
Intensiv,germany_tv,9,1608,28,4.16,1641,33
Intensiv,germany_tv,10,1608,28,4.73,1641,33
Intensiv,kosovo_tv,1,2587,32,11.14,2591,4
Intensiv,kosovo_tv,2,2587,32,11.56,2591,4
Intensiv,kosovo_tv,3,2587,32,11.92,2591,4
Intensiv,kosovo_tv,4,2587,32,10.92,2591,4
Intensiv,kosovo_tv,5,2587,32,10.86,2591,4
Intensiv,kosovo_tv,6,2587,32,11.65,2591,4
Intensiv,kosovo_tv,7,2587,32,11.17,2591,4
Intensiv,kosovo_tv,8,2591,32,11.73,2591,0
Intensiv,kosovo_tv,9,2587,32,11.19,2591,4
Intensiv,kosovo_tv,10,2587,32,11.05,2591,4
Intensiv,netherlands_tv,1,2636,35,,2636,0
Intensiv,netherlands_tv,2,2636,35,,2636,0
Intensiv,netherlands_tv,3,2636,35,,2636,0
Intensiv,netherlands_tv,4,2636,35,,2636,0
Intensiv,netherlands_tv,5,2636,35,,2636,0
Intensiv,netherlands_tv,6,2636,35,,2636,0
Intensiv,netherlands_tv,7,2636,35,,2636,0
Intensiv,netherlands_tv,8,2636,35,,2636,0
Intensiv,netherlands_tv,9,2636,35,,2636,0
Intensiv,netherlands_tv,10,2636,35,,2636,0
Intensiv,uk_tv,1,2255,26,40.96,2266,11
Intensiv,uk_tv,2,2259,26,33.46,2266,7
Intensiv,uk_tv,3,2249,26,22.45,2266,17
Intensiv,uk_tv,4,2264,26,29.48,2266,2
Intensiv,uk_tv,5,2262,26,23.82,2266,4
Intensiv,uk_tv,6,2259,26,23.72,2266,7
Intensiv,uk_tv,7,2260,26,31.94,2266,6
Intensiv,uk_tv,8,2266,26,21.91,2266,0
Intensiv,uk_tv,9,2259,26,28.51,2266,7
Intensiv,uk_tv,10,2252,26,22.77,2266,14
Intensiv,usa_tv,1,3572,35,135.16,3574,2
Intensiv,usa_tv,2,3574,35,227.89,3574,0
Intensiv,usa_tv,3,3572,35,299.46,3574,2
Intensiv,usa_tv,4,3572,35,289.27,3574,2
Intensiv,usa_tv,5,3573,35,296.19,3575,2
Intensiv,usa_tv,6,3577,35,164.23,3579,2
Intensiv,usa_tv,7,3578,35,285.63,3578,0
Intensiv,usa_tv,8,3575,35,264.94,3575,0
Intensiv,usa_tv,9,3578,35,299.49,3578,0
Intensiv,usa_tv,10,3576,35,299.45,3578,2
Intensiv,australia_iptv,1,4441,41,271.23,4446,5
Intensiv,australia_iptv,2,4333,40,287.99,4360,27
Intensiv,australia_iptv,3,4388,41,278.95,4426,38
Intensiv,australia_iptv,4,4339,40,278.33,4341,2
Intensiv,australia_iptv,5,4368,40,272.38,4383,15
Intensiv,australia_iptv,6,4430,41,299.44,4430,0
Intensiv,australia_iptv,7,4377,41,267.94,4466,89
