config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,canada_pw,1,4774,45,255.84,4775,1
Default,canada_pw,2,4763,45,206.66,4775,12
Default,canada_pw,3,4772,45,299.43,4777,5
Default,canada_pw,4,4766,45,237.8,4776,10
Default,canada_pw,5,4780,45,236.27,4784,4
Default,canada_pw,6,4747,45,221.58,4769,22
Default,canada_pw,7,4770,45,299.44,4782,12
Default,canada_pw,8,4767,45,204.98,4781,14
Default,canada_pw,9,4747,45,198.52,4774,27
Default,canada_pw,10,4762,45,237.6,4784,22
Explorues,canada_pw,1,4774,45,299.66,4775,1
Explorues,canada_pw,2,4774,45,299.63,4775,1
Explorues,canada_pw,3,4778,45,299.44,4779,1
Explorues,canada_pw,4,4771,45,299.45,4784,13
Explorues,canada_pw,5,4766,45,271.4,4779,13
Explorues,canada_pw,6,4762,45,299.66,4781,19
Explorues,canada_pw,7,4748,45,299.68,4781,33
Explorues,canada_pw,8,4778,45,299.6,4782,4
Explorues,canada_pw,9,4773,45,299.44,4776,3
Explorues,canada_pw,10,4774,45,299.44,4787,13
Intensiv,canada_pw,1,4775,45,162.14,4776,1
Intensiv,canada_pw,2,4763,45,135.85,4775,12
Intensiv,canada_pw,3,4778,45,167.13,4780,2
Intensiv,canada_pw,4,4767,45,174.03,4780,13
Intensiv,canada_pw,5,4756,45,138.91,4769,13
Intensiv,canada_pw,6,4755,45,182.66,4777,22
Intensiv,canada_pw,7,4774,45,156.11,4785,11
Intensiv,canada_pw,8,4756,45,149.77,4779,23
Intensiv,canada_pw,9,4759,45,217.25,4777,18
Intensiv,canada_pw,10,4761,45,159.65,4784,23
Balancuar,canada_pw,1,4774,45,224.85,4775,1
Balancuar,canada_pw,2,4763,45,189.22,4775,12
Balancuar,canada_pw,3,4776,45,221.94,4780,4
Balancuar,canada_pw,4,4777,45,281.22,4782,5
Balancuar,canada_pw,5,4782,45,202.8,4784,2
Balancuar,canada_pw,6,4747,45,201.04,4771,24
Balancuar,canada_pw,7,4759,45,229.27,4782,23
Balancuar,canada_pw,8,4764,45,194.19,4784,20
Balancuar,canada_pw,9,4748,45,249.58,4771,23
Balancuar,canada_pw,10,4761,45,237.06,4784,23
