config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,croatia_tv,1,2208,25,19.84,2220,12
Default,croatia_tv,2,2208,25,21.29,2220,12
Default,croatia_tv,3,2208,25,21.15,2220,12
Default,croatia_tv,4,2208,25,21.2,2220,12
Default,croatia_tv,5,2208,25,21.78,2220,12
Default,croatia_tv,6,2208,25,26.93,2220,12
Default,croatia_tv,7,2208,25,26.33,2220,12
Default,croatia_tv,8,2208,25,26.79,2220,12
Default,croatia_tv,9,2208,25,25.08,2220,12
Default,croatia_tv,10,2208,25,26.45,2220,12
Explorues,croatia_tv,1,2208,25,50.62,2220,12
Explorues,croatia_tv,2,2208,25,42.07,2220,12
Explorues,croatia_tv,3,2208,25,36.2,2220,12
Explorues,croatia_tv,4,2208,25,41.21,2220,12
Explorues,croatia_tv,5,2208,25,59.55,2220,12
Explorues,croatia_tv,6,2208,25,91.79,2220,12
Explorues,croatia_tv,7,2208,25,109.06,2220,12
Explorues,croatia_tv,8,2208,25,121.21,2220,12
Explorues,croatia_tv,9,2208,25,55.35,2220,12
Explorues,croatia_tv,10,2208,25,52.27,2220,12
Intensiv,croatia_tv,1,2208,25,14.06,2220,12
Intensiv,croatia_tv,2,2208,25,13.0,2220,12
Intensiv,croatia_tv,3,2208,25,15.15,2220,12
Intensiv,croatia_tv,4,2208,25,13.89,2220,12
Intensiv,croatia_tv,5,2208,25,14.26,2220,12
Intensiv,croatia_tv,6,2208,25,14.56,2220,12
Intensiv,croatia_tv,7,2208,25,13.17,2220,12
Intensiv,croatia_tv,8,2208,25,13.38,2220,12
Intensiv,croatia_tv,9,2208,25,13.71,2220,12
Intensiv,croatia_tv,10,2208,25,15.09,2220,12
Balancuar,croatia_tv,1,2208,25,25.17,2220,12
Balancuar,croatia_tv,2,2208,25,22.59,2220,12
Balancuar,croatia_tv,3,2208,25,23.15,2220,12
Balancuar,croatia_tv,4,2208,25,23.01,2220,12
Balancuar,croatia_tv,5,2208,25,23.81,2220,12
Balancuar,croatia_tv,6,2208,25,24.13,2220,12
Balancuar,croatia_tv,7,2208,25,21.21,2220,12
Balancuar,croatia_tv,8,2208,25,20.61,2220,12
Balancuar,croatia_tv,9,2208,25,22.47,2220,12
Balancuar,croatia_tv,10,2208,25,21.82,2220,12
