config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,france_iptv,1,4334,46,299.46,4345,11
Default,france_iptv,2,4331,46,299.43,4345,14
Default,france_iptv,3,4344,47,299.49,4380,36
Default,france_iptv,4,4307,46,299.46,4337,30
Default,france_iptv,5,4304,46,299.47,4337,33
Default,france_iptv,6,4296,46,299.45,4338,42
Default,france_iptv,7,4306,46,299.54,4338,32
Default,france_iptv,8,4310,46,299.5,4344,34
Default,france_iptv,9,4325,46,299.47,4338,13
Default,france_iptv,10,4313,46,299.51,4338,25
Explorues,france_iptv,1,4289,46,299.48,4337,48
Explorues,france_iptv,2,4303,46,299.49,4345,42
Explorues,france_iptv,3,4305,46,299.54,4344,39
Explorues,france_iptv,4,4291,46,299.47,4343,52
Explorues,france_iptv,5,4320,46,299.47,4336,16
Explorues,france_iptv,6,4290,46,299.44,4343,53
Explorues,france_iptv,7,4307,46,299.46,4339,32
Explorues,france_iptv,8,4290,46,299.49,4336,46
Explorues,france_iptv,9,4321,46,299.47,4335,14
Explorues,france_iptv,10,4314,46,299.51,4345,31
Intensiv,france_iptv,1,4320,46,234.67,4344,24
Intensiv,france_iptv,2,4331,46,299.51,4345,14
Intensiv,france_iptv,3,4312,46,246.76,4337,25
Intensiv,france_iptv,4,4310,46,237.99,4344,34
Intensiv,france_iptv,5,4305,46,229.73,4338,33
Intensiv,france_iptv,6,4312,46,245.48,4337,25
Intensiv,france_iptv,7,4303,46,236.48,4337,34
Intensiv,france_iptv,8,4305,46,294.91,4338,33
Intensiv,france_iptv,9,4314,46,260.29,4345,31
Intensiv,france_iptv,10,4311,46,280.27,4338,27
Balancuar,france_iptv,1,4340,46,299.54,4345,5
Balancuar,france_iptv,2,4333,46,299.47,4344,11
Balancuar,france_iptv,3,4288,46,299.46,4338,50
Balancuar,france_iptv,4,4319,46,299.49,4349,30
Balancuar,france_iptv,5,4310,46,299.56,4345,35
Balancuar,france_iptv,6,4315,46,299.51,4344,29
Balancuar,france_iptv,7,4332,46,299.52,4338,6
Balancuar,france_iptv,8,4308,46,299.49,4339,31
Balancuar,france_iptv,9,4340,46,299.51,4345,5
Balancuar,france_iptv,10,4334,46,299.46,4348,14
