config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,germany_tv,1,1608,28,6.1,1641,33
Default,germany_tv,2,1608,28,7.48,1641,33
Default,germany_tv,3,1608,28,7.23,1641,33
Default,germany_tv,4,1620,27,7.21,1641,21
Default,germany_tv,5,1618,28,9.54,1641,23
Default,germany_tv,6,1608,28,6.47,1641,33
Default,germany_tv,7,1618,28,7.78,1641,23
Default,germany_tv,8,1613,28,7.16,1641,28
Default,germany_tv,9,1608,28,7.63,1641,33
Default,germany_tv,10,1608,28,8.44,1641,33
Explorues,germany_tv,1,1620,27,12.25,1641,21
Explorues,germany_tv,2,1618,28,12.8,1641,23
Explorues,germany_tv,3,1608,28,11.06,1641,33
Explorues,germany_tv,4,1608,28,11.01,1641,33
Explorues,germany_tv,5,1618,28,11.46,1641,23
Explorues,germany_tv,6,1608,28,10.89,1641,33
Explorues,germany_tv,7,1608,28,11.55,1641,33
Explorues,germany_tv,8,1608,28,10.73,1641,33
Explorues,germany_tv,9,1608,28,13.05,1641,33
Explorues,germany_tv,10,1638,28,14.53,1641,3
Intensiv,germany_tv,1,1608,28,4.53,1641,33
Intensiv,germany_tv,2,1608,28,4.36,1641,33
Intensiv,germany_tv,3,1608,28,3.75,1641,33
Intensiv,germany_tv,4,1608,28,4.32,1641,33
Intensiv,germany_tv,5,1620,27,4.42,1641,21
Intensiv,germany_tv,6,1608,28,4.17,1641,33
Intensiv,germany_tv,7,1608,28,4.32,1641,33
Intensiv,germany_tv,8,1608,28,3.95,1641,33
Intensiv,germany_tv,9,1608,28,4.16,1641,33
Intensiv,germany_tv,10,1608,28,4.73,1641,33
Balancuar,germany_tv,1,1608,28,8.09,1641,33
Balancuar,germany_tv,2,1608,28,6.67,1641,33
Balancuar,germany_tv,3,1613,28,7.47,1641,28
Balancuar,germany_tv,4,1608,28,7.16,1641,33
Balancuar,germany_tv,5,1608,28,7.25,1641,33
Balancuar,germany_tv,6,1620,27,8.3,1641,21
Balancuar,germany_tv,7,1608,28,7.34,1641,33
Balancuar,germany_tv,8,1608,28,7.62,1641,33
Balancuar,germany_tv,9,1608,28,8.11,1641,33
Balancuar,germany_tv,10,1618,28,7.56,1641,23
