config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,netherlands_tv,1,2636,35,,2636,0
Default,netherlands_tv,2,2636,35,,2636,0
Default,netherlands_tv,3,2636,35,,2636,0
Default,netherlands_tv,4,2636,35,,2636,0
Default,netherlands_tv,5,2636,35,,2636,0
Default,netherlands_tv,6,2636,35,,2636,0
Default,netherlands_tv,7,2636,35,,2636,0
Default,netherlands_tv,8,2636,35,,2636,0
Default,netherlands_tv,9,2636,35,,2636,0
Default,netherlands_tv,10,2636,35,,2636,0
Explorues,netherlands_tv,1,2636,35,,2636,0
Explorues,netherlands_tv,2,2636,35,,2636,0
Explorues,netherlands_tv,3,2636,35,,2636,0
Explorues,netherlands_tv,4,2636,35,,2636,0
Explorues,netherlands_tv,5,2636,35,,2636,0
Explorues,netherlands_tv,6,2636,35,,2636,0
Explorues,netherlands_tv,7,2636,35,,2636,0
Explorues,netherlands_tv,8,2636,35,,2636,0
Explorues,netherlands_tv,9,2636,35,,2636,0
Explorues,netherlands_tv,10,2636,35,,2636,0
Intensiv,netherlands_tv,1,2636,35,,2636,0
Intensiv,netherlands_tv,2,2636,35,,2636,0
Intensiv,netherlands_tv,3,2636,35,,2636,0
Intensiv,netherlands_tv,4,2636,35,,2636,0
Intensiv,netherlands_tv,5,2636,35,,2636,0
Intensiv,netherlands_tv,6,2636,35,,2636,0
Intensiv,netherlands_tv,7,2636,35,,2636,0
Intensiv,netherlands_tv,8,2636,35,,2636,0
Intensiv,netherlands_tv,9,2636,35,,2636,0
Intensiv,netherlands_tv,10,2636,35,,2636,0
Balancuar,netherlands_tv,1,2636,35,,2636,0
Balancuar,netherlands_tv,2,2636,35,,2636,0
Balancuar,netherlands_tv,3,2636,35,,2636,0
Balancuar,netherlands_tv,4,2636,35,,2636,0
Balancuar,netherlands_tv,5,2636,35,,2636,0
Balancuar,netherlands_tv,6,2636,35,,2636,0
Balancuar,netherlands_tv,7,2636,35,,2636,0
Balancuar,netherlands_tv,8,2636,35,,2636,0
Balancuar,netherlands_tv,9,2636,35,,2636,0
Balancuar,netherlands_tv,10,2636,35,,2636,0
