config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,singapore_pw,1,4332,45,135.82,4338,6
Default,singapore_pw,2,4332,45,134.25,4339,7
Default,singapore_pw,3,4341,45,157.22,4347,6
Default,singapore_pw,4,4341,45,162.56,4347,6
Default,singapore_pw,5,4342,45,160.11,4348,6
Default,singapore_pw,6,4327,45,112.3,4336,9
Default,singapore_pw,7,4332,45,175.46,4338,6
Default,singapore_pw,8,4337,45,121.33,4342,5
Default,singapore_pw,9,4336,45,118.56,4341,5
Default,singapore_pw,10,4342,45,122.12,4348,6
Explorues,singapore_pw,1,4342,45,274.73,4348,6
Explorues,singapore_pw,2,4336,45,203.35,4341,5
Explorues,singapore_pw,3,4341,45,294.38,4347,6
Explorues,singapore_pw,4,4342,45,299.47,4342,0
Explorues,singapore_pw,5,4342,45,294.33,4348,6
Explorues,singapore_pw,6,4332,45,283.63,4338,6
Explorues,singapore_pw,7,4342,45,275.98,4348,6
Explorues,singapore_pw,8,4341,45,299.43,4347,6
Explorues,singapore_pw,9,4336,45,249.95,4341,5
Explorues,singapore_pw,10,4342,45,267.11,4342,0
Intensiv,singapore_pw,1,4332,45,77.61,4338,6
Intensiv,singapore_pw,2,4333,45,86.46,4348,15
Intensiv,singapore_pw,3,4340,45,79.02,4341,1
Intensiv,singapore_pw,4,4342,45,107.82,4348,6
Intensiv,singapore_pw,5,4341,45,81.62,4347,6
Intensiv,singapore_pw,6,4341,45,94.96,4347,6
Intensiv,singapore_pw,7,4342,45,88.2,4348,6
Intensiv,singapore_pw,8,4341,45,66.46,4347,6
Intensiv,singapore_pw,9,4341,45,74.18,4347,6
Intensiv,singapore_pw,10,4341,45,73.2,4347,6
Balancuar,singapore_pw,1,4347,45,215.75,4347,0
Balancuar,singapore_pw,2,4332,45,128.17,4338,6
Balancuar,singapore_pw,3,4341,45,163.31,4347,6
Balancuar,singapore_pw,4,4346,45,123.17,4348,2
Balancuar,singapore_pw,5,4332,45,166.51,4338,6
Balancuar,singapore_pw,6,4341,45,153.1,4347,6
Balancuar,singapore_pw,7,4333,45,130.98,4339,6
Balancuar,singapore_pw,8,4342,45,157.05,4348,6
Balancuar,singapore_pw,9,4341,45,123.08,4348,7
Balancuar,singapore_pw,10,4342,45,116.14,4342,0
