config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,toy,1,510,5,0.67,510,0
Default,toy,2,510,5,0.64,510,0
Default,toy,3,510,5,0.68,510,0
Default,toy,4,510,5,0.68,510,0
Default,toy,5,510,5,0.68,510,0
Default,toy,6,510,5,0.62,510,0
Default,toy,7,510,5,0.67,510,0
Default,toy,8,510,5,0.79,510,0
Default,toy,9,510,5,0.66,510,0
Default,toy,10,510,5,0.83,510,0
Explorues,toy,1,510,5,1.01,510,0
Explorues,toy,2,510,5,1.16,510,0
Explorues,toy,3,510,5,1.11,510,0
Explorues,toy,4,510,5,1.17,510,0
Explorues,toy,5,510,5,0.99,510,0
Explorues,toy,6,510,5,1.04,510,0
Explorues,toy,7,510,5,1.02,510,0
Explorues,toy,8,510,5,1.03,510,0
Explorues,toy,9,510,5,1.02,510,0
Explorues,toy,10,510,5,1.05,510,0
Intensiv,toy,1,510,5,0.5,510,0
Intensiv,toy,2,510,5,0.52,510,0
Intensiv,toy,3,510,5,0.42,510,0
Intensiv,toy,4,510,5,0.48,510,0
Intensiv,toy,5,510,5,0.4,510,0
Intensiv,toy,6,510,5,0.41,510,0
Intensiv,toy,7,510,5,0.53,510,0
Intensiv,toy,8,510,5,0.42,510,0
Intensiv,toy,9,510,5,0.43,510,0
Intensiv,toy,10,510,5,0.48,510,0
Balancuar,toy,1,510,5,0.73,510,0
Balancuar,toy,2,510,5,0.67,510,0
Balancuar,toy,3,510,5,0.73,510,0
Balancuar,toy,4,510,5,0.74,510,0
Balancuar,toy,5,510,5,0.68,510,0
Balancuar,toy,6,510,5,0.71,510,0
Balancuar,toy,7,510,5,0.71,510,0
Balancuar,toy,8,510,5,0.76,510,0
Balancuar,toy,9,510,5,0.67,510,0
Balancuar,toy,10,510,5,0.74,510,0
