config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,us_iptv,1,4558,46,299.76,4558,0
Default,us_iptv,2,4558,46,300.42,4558,0
Default,us_iptv,3,4558,46,300.72,4558,0
Default,us_iptv,4,4558,46,299.94,4558,0
Default,us_iptv,5,4558,46,300.37,4558,0
Default,us_iptv,6,4561,46,300.36,4561,0
Default,us_iptv,7,4576,46,300.35,4577,1
Default,us_iptv,8,4558,46,300.27,4558,0
Default,us_iptv,9,4558,46,299.81,4558,0
Default,us_iptv,10,4574,46,299.86,4574,0
Explorues,us_iptv,1,4558,46,300.25,4558,0
Explorues,us_iptv,2,4558,46,299.87,4558,0
Explorues,us_iptv,3,4558,46,300.34,4558,0
Explorues,us_iptv,4,4558,46,299.8,4558,0
Explorues,us_iptv,5,4558,46,300.36,4558,0
Explorues,us_iptv,6,4570,46,300.06,4570,0
Explorues,us_iptv,7,4583,46,300.49,4585,2
Explorues,us_iptv,8,4558,46,299.94,4558,0
Explorues,us_iptv,9,4558,46,299.82,4558,0
Explorues,us_iptv,10,4575,46,300.2,4575,0
Intensiv,us_iptv,1,4558,46,299.9,4558,0
Intensiv,us_iptv,2,4558,46,300.02,4558,0
Intensiv,us_iptv,3,4558,46,299.95,4558,0
Intensiv,us_iptv,4,4558,46,300.23,4558,0
Intensiv,us_iptv,5,4583,46,300.48,4583,0
Intensiv,us_iptv,6,4570,46,300.7,4571,1
Intensiv,us_iptv,7,4575,46,299.9,4576,1
Intensiv,us_iptv,8,4558,46,300.39,4558,0
Intensiv,us_iptv,9,4558,46,299.8,4558,0
Intensiv,us_iptv,10,4574,46,300.36,4575,1
Balancuar,us_iptv,1,4558,46,300.34,4558,0
Balancuar,us_iptv,2,4558,46,299.86,4558,0
Balancuar,us_iptv,3,4558,46,300.19,4558,0
Balancuar,us_iptv,4,4558,46,300.52,4558,0
Balancuar,us_iptv,5,4567,46,299.95,4568,1
Balancuar,us_iptv,6,4573,46,300.14,4573,0
Balancuar,us_iptv,7,4588,46,300.18,4588,0
Balancuar,us_iptv,8,4558,46,300.35,4558,0
Balancuar,us_iptv,9,4558,46,299.96,4558,0
Balancuar,us_iptv,10,4574,46,300.63,4575,1
