config,instance,seed,score,segments,time_s,GA+LS,improvement
Default,youtube_premium,1,56054,684,299.19,56689,635
Default,youtube_premium,2,56829,689,299.44,57147,318
Default,youtube_premium,3,57091,685,299.49,57527,436
Default,youtube_premium,4,57102,688,299.52,57450,348
Default,youtube_premium,5,56529,692,299.78,56719,190
Default,youtube_premium,6,56788,683,299.78,56929,141
Default,youtube_premium,7,56892,692,299.47,57160,268
Default,youtube_premium,8,56154,661,299.53,56634,480
Default,youtube_premium,9,56254,677,295.13,56788,534
Default,youtube_premium,10,56458,680,299.46,56848,390
Explorues,youtube_premium,1,56154,685,299.46,56757,603
Explorues,youtube_premium,2,56709,691,299.46,57141,432
Explorues,youtube_premium,3,55798,671,299.47,56188,390
Explorues,youtube_premium,4,57429,681,299.46,57980,551
Explorues,youtube_premium,5,56022,687,299.77,56426,404
Explorues,youtube_premium,6,56288,686,299.79,56658,370
Explorues,youtube_premium,7,55952,689,299.63,56530,578
Explorues,youtube_premium,8,55619,675,299.44,56046,427
Explorues,youtube_premium,9,56139,669,295.83,56561,422
Explorues,youtube_premium,10,56319,680,299.13,56402,83
Intensiv,youtube_premium,1,56196,684,299.8,56523,327
Intensiv,youtube_premium,2,57524,702,299.49,57766,242
Intensiv,youtube_premium,3,57057,687,299.69,57531,474
Intensiv,youtube_premium,4,56818,680,299.64,56997,179
Intensiv,youtube_premium,5,56499,680,299.47,56837,338
Intensiv,youtube_premium,6,56696,682,299.46,57135,439
Intensiv,youtube_premium,7,57954,706,299.44,58263,309
Intensiv,youtube_premium,8,56864,676,299.55,57095,231
Intensiv,youtube_premium,9,56414,681,299.47,56834,420
Intensiv,youtube_premium,10,57260,684,298.47,57308,48
Balancuar,youtube_premium,1,56985,684,299.52,57172,187
Balancuar,youtube_premium,2,56970,692,299.78,57209,239
Balancuar,youtube_premium,3,56065,675,299.44,56629,564
Balancuar,youtube_premium,4,57345,693,299.49,57712,367
Balancuar,youtube_premium,5,56900,685,299.78,57119,219
Balancuar,youtube_premium,6,57081,688,299.78,57365,284
Balancuar,youtube_premium,7,57453,699,299.72,57693,240
Balancuar,youtube_premium,8,56500,683,299.78,56856,356
Balancuar,youtube_premium,9,57101,691,299.47,57450,349
Balancuar,youtube_premium,10,56730,681,299.44,57101,371
