config,instance,seed,score,segments,time_s
Default,toy,1,510,5,0.25
Default,toy,2,510,5,0.2
Default,toy,3,510,5,0.21
Default,toy,4,510,5,0.21
Default,toy,5,510,5,0.21
Default,toy,6,510,5,0.2
Default,toy,7,510,5,0.21
Default,toy,8,510,5,0.2
Default,toy,9,510,5,0.21
Default,toy,10,510,5,0.19
Default,canada_pw,1,4774,45,63.4
Default,canada_pw,2,4762,45,62.25
Default,canada_pw,3,4773,45,109.44
Default,canada_pw,4,4763,45,98.65
Default,canada_pw,5,4774,45,68.45
Default,canada_pw,6,4763,45,71.33
Default,canada_pw,7,4765,45,72.13
Default,canada_pw,8,4755,45,59.95
Default,canada_pw,9,4766,45,55.15
Default,canada_pw,10,4750,45,61.8
Default,usa_tv,1,3572,35,68.01
Default,usa_tv,2,3572,35,66.85
Default,usa_tv,3,3572,35,57.73
Default,usa_tv,4,3572,35,86.69
Default,usa_tv,5,3572,35,271.37
Default,usa_tv,6,3572,35,134.31
Default,usa_tv,7,3575,35,107.42
Default,usa_tv,8,3572,35,83.7
Default,usa_tv,9,3576,35,97.75
Default,usa_tv,10,3576,35,92.61
Default,uk_tv,1,2264,26,20.68
Default,uk_tv,2,2259,26,11.87
Default,uk_tv,3,2266,26,13.15
Default,uk_tv,4,2264,26,13.93
Default,uk_tv,5,2255,26,14.85
Default,uk_tv,6,2254,26,10.05
Default,uk_tv,7,2266,26,9.2
Default,uk_tv,8,2254,26,15.02
Default,uk_tv,9,2266,26,11.98
Default,uk_tv,10,2263,26,10.03
Default,croatia_tv,1,2208,25,5.52
Default,croatia_tv,2,2208,25,5.15
Default,croatia_tv,3,2208,25,5.73
Default,croatia_tv,4,2208,25,5.3
Default,croatia_tv,5,2208,25,5.47
Default,croatia_tv,6,2208,25,5.54
Default,croatia_tv,7,2208,25,5.54
Default,croatia_tv,8,2208,25,5.54
Default,croatia_tv,9,2208,25,5.46
Default,croatia_tv,10,2208,25,5.91
Default,germany_tv,1,1608,28,2.68
Default,germany_tv,2,1608,28,3.8
Default,germany_tv,3,1608,28,2.77
Default,germany_tv,4,1620,27,2.74
Default,germany_tv,5,1618,28,3.97
Default,germany_tv,6,1608,28,2.5
Default,germany_tv,7,1618,28,2.42
Default,germany_tv,8,1613,28,2.68
Default,germany_tv,9,1608,28,2.93
Default,germany_tv,10,1608,28,3.19
Default,kosovo_tv,1,2591,32,5.36
Default,kosovo_tv,2,2591,32,5.31
Default,kosovo_tv,3,2591,32,5.58
Default,kosovo_tv,4,2587,32,5.42
Default,kosovo_tv,5,2591,32,7.48
Default,kosovo_tv,6,2591,32,8.44
Default,kosovo_tv,7,2587,32,5.41
Default,kosovo_tv,8,2591,32,5.45
Default,kosovo_tv,9,2591,32,6.27
Default,kosovo_tv,10,2587,32,5.33
Default,china_pw,1,2978,41,201.07
Default,china_pw,2,3089,42,194.61
Default,china_pw,3,2984,41,211.28
Default,china_pw,4,3002,41,254.41
Default,china_pw,5,3096,42,199.88
Default,china_pw,6,3082,42,215.83
Default,china_pw,7,2982,41,212.8
Default,china_pw,8,3074,43,168.84
Default,china_pw,9,3003,41,294.57
Default,china_pw,10,3089,42,183.86
Default,youtube_premium,1,58025,702,294.52
Default,youtube_premium,2,57385,705,294.83
Default,youtube_premium,3,57307,695,294.67
Default,youtube_premium,4,55806,679,294.54
Default,youtube_premium,5,58720,710,294.68
Default,youtube_premium,6,57651,699,295.06
Default,youtube_premium,7,57287,707,294.72
Default,youtube_premium,8,56677,682,294.55
Default,youtube_premium,9,57429,700,296.19
Default,youtube_premium,10,56246,689,294.57
Default,youtube_gold,1,100478,3093,294.99
Default,youtube_gold,2,100303,3084,294.78
Default,youtube_gold,3,100313,3082,295.55
